 

stn;time;hti000mx;hto000mx;hns000mx;hto000m0
SAN;201301;20130110;27;76;93

stn;time;hti000yx;hns000y0;hto000y0
SAN;2012;20120105;840;48
SAN;2013;20130203;515;31

stn;time;hti000mx;hto000mx;hto000m0;hns000mx
SLF7MZ;200704;-;-;-;0
SLF7MZ;200705;20070528;8;0;8
SLF7MZ;200706;-;-;-;-
SLF7MZ;200707;-;-;-;-
SLF7MZ;200708;-;-;-;-
SLF7MZ;200709;-;-;-;-
SLF7MZ;200710;20071030;2;0;2
SLF7MZ;200711;-;44;18;-
SLF7MZ;200712;-;-;-;-
SLF7MZ;200801;20080112;87;64;34
SLF7MZ;200802;20080204;82;71;11
SLF7MZ;200803;20080310;65;51;17
SLF7MZ;200804;20080411;80;45;35
SLF7MZ;200805;-;30;1;0
SLF7MZ;200806;-;-;-;-
SLF7MZ;200807;-;-;-;-
SLF7MZ;200808;-;-;-;-
SLF7MZ;200809;-;-;-;-
SLF7MZ;200810;20081030;12;1;10
SLF7MZ;200811;20081128;75;22;30
SLF7MZ;200812;20081210;111;90;37
SLF7MZ;200901;20090120;130;99;32
SLF7MZ;200902;20090206;156;127;38
SLF7MZ;200903;20090304;131;117;18
SLF7MZ;200904;20090428;105;44;22
SLF7MZ;200905;-;0;0;0
SLF7MZ;200906;-;-;-;-
SLF7MZ;200907;-;-;-;-
SLF7MZ;200908;-;-;-;-
SLF7MZ;200909;-;-;-;-
SLF7MZ;200910;20091012;4;0;4
SLF7MZ;200911;20091130;40;8;41
SLF7MZ;200912;20091222;87;60;25
SLF7MZ;201001;20100108;99;87;13
SLF7MZ;201002;20100219;104;93;14
SLF7MZ;201003;20100326;105;88;17
SLF7MZ;201004;20100401;71;30;13
SLF7MZ;201005;20100502;9;0;9
SLF7MZ;201006;-;-;-;-
SLF7MZ;201007;-;-;-;-
SLF7MZ;201008;-;-;-;-
SLF7MZ;201009;-;-;-;-
SLF7MZ;201010;20101024;34;5;21
SLF7MZ;201011;20101107;54;30;31
SLF7MZ;201012;20101201;67;55;14
SLF7MZ;201101;20110109;85;73;17
SLF7MZ;201102;20110220;81;75;6
