 

stn;time;hto000mx;hto000m0
SMM;202007;-;0;0;0
SMM;202008;-;0;0;0
SMM;202009;-;0;0;0
SMM;202010;20201026;1;1;0
SMM;202011;-;0;0;0
SMM;202012;20201205;37;85;55
SMM;202101;20210121;18;90;73
SMM;202102;20210207;25;105;79
SMM;202103;20210313;2;52;41
SMM;202104;-;-;-;4

stn;time;hti000yx;hns000y0;hto000y0
SMM;2018;20180120;201;17
SMM;2019;20190201;337;10
SMM;2020;20201205;213;8

stn;time;hti000mx;hns000mx;hto000mx;hto000m0
TST;201801;20180120;42;150;82
TST;201802;20180201;20;110;95
TST;201803;20180330;15;95;74
TST;201804;-;0;70;11
TST;201805;-;0;0;0
TST;201806;-;0;0;0
TST;201807;-;0;0;0
TST;201808;-;0;0;0
TST;201809;-;0;0;0
TST;201810;20181027;55;55;3
TST;201811;20181118;3;5;1
TST;201812;20181209;30;50;23
TST;201901;20190105;43;132;94
TST;201902;20190210;20;110;91
TST;201903;20190311;20;97;58
TST;201904;20190404;31;49;9
TST;201905;20190505;7;14;1
TST;201906;-;0;0;0
TST;201907;-;0;0;0
TST;201908;-;0;0;0
TST;201909;-;0;0;0
TST;201910;-;0;0;0
TST;201911;20191111;23;30;8
TST;201912;20191209;21;29;10
TST;202001;20200128;25;41;14
TST;202002;20200204;40;59;41
TST;202003;20200310;20;57;30
TST;202004;-;0;0;0
TST;202005;-;0;0;0
TST;202006;-;0;0;0
TST;202007;-;0;0;0
TST;202008;-;0;0;0
TST;202009;20200925;12;12;1
TST;202010;20201026;35;35;2
TST;202011;20201119;7;7;0
TST;202012;20201206;38;79;37
TST;202101;20210113;66;112;66
TST;202102;20210210;16;92;78
TST;202103;20210315;20;95;70
TST;202104;-;-;-;6

stn;time;hti000yx;hns000y0;hto000y0
TST;2018;20181027;518;24
TST;2019;20190105;569;23
TST;2020;20200204;390;10

stn;time;hti000mx;hns000mx;hto000mx;hto000m0
SLF5VA;201805;-;0;0;0
SLF5VA;201806;-;-;-;-
SLF5VA;201807;-;-;-;-
SLF5VA;201808;-;-;-;-
SLF5VA;201809;-;-;-;-
SLF5VA;201810;20181027;68;68;4
SLF5VA;201811;-;-;-;-
SLF5VA;201812;-;-;42;19
SLF5VA;201901;20190113;36;93;52
SLF5VA;201902;20190201;12;66;50
SLF5VA;201903;20190317;22;41;23
SLF5VA;201904;20190404;25;25;2
SLF5VA;201905;20190504;2;2;0
SLF5VA;201906;-;-;-;-
SLF5VA;201907;-;-;-;-
SLF5VA;201908;-;-;-;-
SLF5VA;201909;-;-;-;-
SLF5VA;201910;-;0;0;0
SLF5VA;201911;20191117;27;52;11
SLF5VA;201912;20191222;13;27;9
SLF5VA;202001;20200128;15;33;13
SLF5VA;202002;20200204;17;22;13
SLF5VA;202003;20200310;10;19;5
SLF5VA;202004;-;0;0;0
SLF5VA;202005;-;0;0;0
SLF5VA;202006;-;-;-;-
SLF5VA;202007;-;-;-;-
SLF5VA;202008;-;-;-;-
SLF5VA;202009;-;-;-;-
SLF5VA;202010;-;-;-;-
SLF5VA;202011;20201119;1;4;0
SLF5VA;202012;20201205;42;88;43
SLF5VA;202101;20210127;52;116;65
SLF5VA;202102;20210207;23;85;68
SLF5VA;202103;20210314;21;57;38
SLF5VA;202104;-;-;-;5

stn;time;hti000mx;hns000mx;hto000mx;hto000m0
VEL;201801;20180121;39;112;56
VEL;201802;20180215;11;74;65
VEL;201803;20180329;12;62;43
VEL;201804;-;0;25;4
VEL;201805;-;0;0;0
VEL;201806;-;0;0;0
VEL;201807;-;0;0;0
VEL;201808;-;0;0;0
VEL;201809;-;0;0;0
VEL;201810;20181027;64;64;5
VEL;201811;20181118;3;9;1
VEL;201812;20181209;38;43;18
VEL;201901;20190113;42;95;54
VEL;201902;20190201;13;68;54
VEL;201903;20190314;28;39;13
VEL;201904;20190404;29;29;2
VEL;201905;20190505;3;3;0
VEL;201906;-;0;0;0
VEL;201907;-;0;0;0
VEL;201908;-;0;0;0
VEL;201909;-;0;0;0
VEL;201910;-;0;0;0
VEL;201911;20191117;28;49;9
VEL;201912;20191223;18;32;10
VEL;202001;20200128;23;28;11
VEL;202002;20200213;19;22;10
VEL;202003;20200310;14;14;4
VEL;202004;-;0;0;0
VEL;202005;-;0;0;0
VEL;202006;-;0;0;0
VEL;202007;-;0;0;0
VEL;202008;-;0;0;0
VEL;202009;20200925;11;11;0
VEL;202010;20201026;33;33;2
VEL;202011;20201119;2;2;0
VEL;202012;20201205;44;81;37
VEL;202101;20210127;69;138;64
VEL;202102;20210207;19;88;72
VEL;202103;20210314;30;78;46
VEL;202104;-;-;-;2

stn;time;hti000yx;hns000y0;hto000y0
VEL;2018;20181027;411;16
VEL;2019;20190113;496;12
VEL;2020;20201205;297;5

stn;time;hti000mx;hns000mx;hto000mx;hto000m0
SLF7ZU;201801;20180120;40;120;78
SLF7ZU;201802;20180201;8;98;90
SLF7ZU;201803;20180330;9;92;82
SLF7ZU;201804;20180412;6;71;30
SLF7ZU;201805;-;0;0;0
SLF7ZU;201806;-;-;-;-
SLF7ZU;201807;-;-;-;-
SLF7ZU;201808;-;-;-;-
SLF7ZU;201809;-;-;-;-
SLF7ZU;201810;20181027;54;54;5
SLF7ZU;201811;20181123;10;27;9
SLF7ZU;201812;20181209;27;60;33
SLF7ZU;201901;20190113;41;98;60
SLF7ZU;201902;20190201;50;120;84
SLF7ZU;201903;20190314;23;86;63
SLF7ZU;201904;20190404;46;80;26
SLF7ZU;201905;20190511;1;1;0
SLF7ZU;201906;-;-;-;-
SLF7ZU;201907;-;-;-;-
SLF7ZU;201908;-;-;-;-
SLF7ZU;201909;-;-;-;-
SLF7ZU;201910;-;0;0;0
SLF7ZU;201911;20191115;34;72;30
SLF7ZU;201912;20191201;14;52;42
SLF7ZU;202001;20200128;11;55;42
SLF7ZU;202002;20200213;13;51;43
SLF7ZU;202003;20200302;18;60;36
SLF7ZU;202004;20200430;1;7;0
SLF7ZU;202005;-;0;1;0
SLF7ZU;202006;-;-;-;-
SLF7ZU;202007;-;-;-;-
SLF7ZU;202008;-;-;-;-
SLF7ZU;202009;-;-;-;-
SLF7ZU;202010;-;-;-;-
SLF7ZU;202011;20201115;5;5;0
SLF7ZU;202012;20201206;30;65;41
SLF7ZU;202101;20210127;34;110;73
SLF7ZU;202102;20210207;28;120;100
SLF7ZU;202103;20210314;12;91;76
SLF7ZU;202104;-;-;-;24

